지역,권,항목,경보단계,발령시일,발령시,인구가중치,PM10,PM2.5,경보,주의보
경남,남해권,PM10,주의보,2019-04-05,19,0.000848746,1,0,0,1
충북,북부권,PM10,주의보,2019-04-05,19,0.056789935,1,0,0,1
경남,양산권,PM10,주의보,2019-04-05,19,0.006824661,1,0,0,1
전북,군산권,PM10,주의보,2019-04-05,18,0.005255895,1,0,0,1
전북,김제권,PM10,주의보,2019-04-05,18,0.001632331,1,0,0,1
경남,밀양권,PM10,주의보,2019-04-05,18,0.002053708,1,0,0,1
전북,부안권,PM10,주의보,2019-04-05,18,0.001036952,1,0,0,1
전북,완주권,PM10,주의보,2019-04-05,18,0.00179431,1,0,0,1
전북,익산권,PM10,주의보,2019-04-05,18,0.005599113,1,0,0,1
전북,전주권,PM10,주의보,2019-04-05,18,0.012732437,1,0,0,1
전북,정읍권,PM10,주의보,2019-04-05,18,0.002150778,1,0,0,1
충북,중부권,PM10,주의보,2019-04-05,18,0.020966376000000002,1,0,0,1
경남,함안권,PM10,주의보,2019-04-05,18,0.001278314,1,0,0,1
경기,동부권,PM10,주의보,2019-04-05,17,0.0032048520000000002,1,0,0,1
경북,동부권,PM10,주의보,2019-04-05,17,0.0032048520000000002,1,0,0,1
전북,장수권,PM10,주의보,2019-04-05,17,0.000436631,1,0,0,1
경남,함양권,PM10,주의보,2019-04-05,17,0.000771211,1,0,0,1
경남,거창권,PM10,주의보,2019-04-05,16,0.001209807,1,0,0,1
대구,대구권,PM10,주의보,2019-04-05,16,0.047436372000000004,1,0,0,1
경북,서부권,PM10,주의보,2019-04-05,16,0.018674594,1,0,0,1
서울,서울권,PM10,주의보,2019-04-05,16,0.18929765,1,0,0,1
경기,남부권,PM10,주의보,2019-04-05,15,0.023576725,1,0,0,1
인천,동남부권,PM10,주의보,2019-04-05,15,0.041310056,1,0,0,1
인천,서부권,PM10,주의보,2019-04-05,15,0.018674594,1,0,0,1
충남,서부권,PM10,주의보,2019-04-05,15,0.018674594,1,0,0,1
인천,영종권,PM10,주의보,2019-04-05,15,0.00131465,1,0,0,1
전북,장수권,PM2.5,주의보,2019-04-05,15,0.000436631,0,1,0,1
경기,중부권,PM10,주의보,2019-04-05,15,0.020966376000000002,1,0,0,1
충남,북부권,PM10,주의보,2019-04-05,14,0.056789935,1,0,0,1
전북,김제권,PM2.5,주의보,2019-03-28,12,0.001632331,0,1,0,1
전북,완주권,PM2.5,주의보,2019-03-28,10,0.00179431,0,1,0,1
전북,진안권,PM2.5,주의보,2019-03-28,10,0.0004999819999999999,0,1,0,1
전북,고창권,PM2.5,주의보,2019-03-28,9,0.001079932,0,1,0,1
전북,임실권,PM2.5,주의보,2019-03-28,9,0.000562342,0,1,0,1
세종,세종권,PM2.5,주의보,2019-03-28,8,0.006626511999999999,0,1,0,1
전북,전주권,PM2.5,주의보,2019-03-28,8,0.012732437,0,1,0,1
경북,서부권,PM2.5,주의보,2019-03-28,7,0.018674594,0,1,0,1
전북,익산권,PM2.5,주의보,2019-03-28,5,0.005599113,0,1,0,1
전북,장수권,PM2.5,주의보,2019-03-28,5,0.000436631,0,1,0,1
충북,중부권,PM2.5,주의보,2019-03-28,5,0.020966376000000002,0,1,0,1
충북,남부권,PM2.5,주의보,2019-03-28,4,0.023576725,0,1,0,1
